Title,Author,Identifier,Inventory,Count,Rate,Publisher,PublishedDate
"大学俄语,学生用书.1.2版(新版)",北京外国语俄语学院编著,H35/8-1(1)=2,8,4,0.5,外语教学与研究出版社,2009
西南联大英文课,陈福田编,H319.39/50,10,4,0.4,中译出版社,2019
大学英语六级词汇分频速记,"主编刘金龙, 谷青松",H313/361,8,4,0.5,上海交通大学出版社,2015
"红宝书,新日本语能力考试N5、N4文字词汇考前对策","主编许小明, Reika",H363.1/13-4,2,4,2.0,华东理工大学出版社,2018
"考研阅读句句讲,英语一:名师视频伴学版",颉斌斌编著,H319.37/6-1,6,4,0.67,中国人民大学出版社,2020
七节课掌握英语自然拼读,宋德伟编著,H311/33,2,4,2.0,中国水利水电出版社,2017.10
高情商聊天术,张超著,H019-49/104,6,4,0.67,文化发展出版社,2017
SCI论文写作解析:EndNote/RefViz/SPSS/Origin/Illustrator综合教程,"李达, 李玉成, 李春艳主编",H152.3/86,8,4,0.5,清华大学出版社,2012
雅思王听力真题语料库:机考笔试综合版.4版,王陆编著,H319.9-44/30=4,2,4,2.0,中国人民大学出版社,2016
了不起的盖茨比,(美) 弗·司各特·菲茨杰拉德著,H319.4:I/864,6,4,0.67,人民邮电出版社,2015
六级写作高分范文100篇,新东方考试研究中心编著,H315/301,6,4,0.67,浙江教育出版社,2015
四级词汇词根+联想记忆法:乱序版,俞敏洪编著,H313/336,6,4,0.67,浙江教育出版社,2015
芒果街上的小屋.第2版,Sandra Cisneros,H319.4:I/419=2,5,4,0.8,译林出版社,2012.01
外研社新英汉词典,[台湾三民书局股份有限公司编],H316/34,3,4,1.33,外语教学与研究出版社,2011
"新版中日交流标准日本语,初级.上册.第2版","人民教育出版社,光村图书出版株式会社编",H36/12-1(1)=2,6,4,0.67,人民教育出版社,2013
雅思写作真题范文精讲,"孟炎, 王加军编著",H315/284,4,4,1.0,海豚出版社,2020
新日本语能力考试N1-N5文法详解.第2版,"主编许小明, Reika",H360.41/10=2,6,4,0.67,华东理工大学出版社,2015.02
蝇王,(英) 威廉·戈尔丁著,H319.4:I/810,6,4,0.67,上海译文出版社,2014
牛津学生英汉词典:5000单词和短语,,H316/79,2,4,2.0,四川辞书出版社,2017.05
朗文高级英语应试词典,李云峰 ... [等],H316/40,4,4,1.0,外语教学与研究出版社,2011
飞屋环游记,美国迪士尼公司著,H319.4:I/1190,6,4,0.67,华东理工大学出版社,2017
汉英实用词汇词典,高登亮 ... [等] 编,H316/27,6,4,0.67,厦门大学出版社,2010
印度尼西亚语美文晨读,韩旭 ... [等] 编著,H631.294/1,6,4,0.67,世界图书出版公司,2019
